"Codigo de Ruta","Descripcion de Ruta","Mes","Año","Tipo de Equipo","Cantidad de viajes","Cantidad de Locomotoras","Cantidad de Vagones","Uso mensual (h)","Distancia recorrida (km)","Consumo de combustible (L)","Cantidad de Zapata Freno","Tipo de  Zapata  Freno","Lubricante cárter (l)","Tipo de lubricante cárter","Lubricante compresor (l)","Tipo de lubricante compresor","Lubricante motor diésel (l)","Tipo de lubricante motor diésel","Filtro  aire","Tipo de filtro  aire","Filtro primario","Tipo de filtro primario","Aceite sistema hidráulico","Tipo de aceite sistema hidráulico"
"RF005","ALAJUELA - HEREDIA Y VICEVERSA","6","2025","DMU APOLO","206","3","4","164.8","2142.4","8998","","ZAPATA SIDEREA D18N","","LUBRICANTE SAE 85W-140","","LUBRICANTE SAE 15W-40","","LUBRICANTE SAE 15W-40","","FILTRO AIRE IGUAL O SIMILAR A N° PARTE VOLVO PENTA DH10A 154449 / WIX 42875","","FILTRO DIESEL TIPO RACOR IGUAL O SIMILAR A TECFIL PD 204 / WIX 33209 / LUBERFINER 2040N","","ACEITE ATF DEXRON III"
"RF005","ALAJUELA - HEREDIA Y VICEVERSA","5","2025","DMU APOLO","210","3","4","168","2184","9173","","ZAPATA SIDEREA D18N","","LUBRICANTE SAE 85W-140","","LUBRICANTE SAE 15W-40","","LUBRICANTE SAE 20W-40","","FILTRO AIRE IGUAL O SIMILAR A N° PARTE VOLVO PENTA DH10A 154449 / WIX 42875","","FILTRO DIESEL TIPO RACOR IGUAL O SIMILAR A TECFIL PD 204 / WIX 33209 / LUBERFINER 2040N","","ACEITE ATF DEXRON III"
"RF005","ALAJUELA - HEREDIA Y VICEVERSA","4","2025","DMU APOLO","187","3","4","149.6","1944.8","8168","","ZAPATA SIDEREA D18N","","LUBRICANTE SAE 85W-140","","LUBRICANTE SAE 20W-40","","LUBRICANTE SAE 20W-40","","FILTRO AIRE IGUAL O SIMILAR A N° PARTE VOLVO PENTA DH10A 154449 / WIX 42875","","FILTRO DIESEL TIPO RACOR IGUAL O SIMILAR A TECFIL PD 204 / WIX 33209 / LUBERFINER 2040N","","ACEITE ATF DEXRON III"
"RF005","ALAJUELA - HEREDIA Y VICEVERSA","3","2025","DMU APOLO","196","3","4","156.8","2038.4","8561","","ZAPATA SIDEREA D18N","","LUBRICANTE SAE 85W-140","","LUBRICANTE SAE 15W-40","","LUBRICANTE SAE 15W-40","","FILTRO AIRE IGUAL O SIMILAR A N° PARTE VOLVO PENTA DH10A 154449 / WIX 42875","","FILTRO DIESEL TIPO RACOR IGUAL O SIMILAR A TECFIL PD 204 / WIX 33209 / LUBERFINER 2040N","","ACEITE ATF DEXRON III"
"RF005","ALAJUELA - HEREDIA Y VICEVERSA","2","2025","DMU APOLO","200","3","4","160","2080","8736","","ZAPATA SIDEREA D18N","","LUBRICANTE SAE 85W-140","","LUBRICANTE SAE 15W-40","","LUBRICANTE SAE 15W-40","","FILTRO AIRE IGUAL O SIMILAR A N° PARTE VOLVO PENTA DH10A 154449 / WIX 42875","","FILTRO DIESEL TIPO RACOR IGUAL O SIMILAR A TECFIL PD 204 / WIX 33209 / LUBERFINER 2040N","","ACEITE ATF DEXRON III"
"RF005","ALAJUELA - HEREDIA Y VICEVERSA","1","2025","DMU APOLO","200","2","4","160","2080","8736","","ZAPATA SIDEREA D18N","","LUBRICANTE SAE 85W-140","","LUBRICANTE SAE 15W-40","","LUBRICANTE SAE 20W-40","","FILTRO AIRE IGUAL O SIMILAR A N° PARTE VOLVO PENTA DH10A 154449 / WIX 42875","","FILTRO DIESEL TIPO RACOR IGUAL O SIMILAR A TECFIL PD 204 / WIX 33209 / LUBERFINER 2040N","","ACEITE ATF DEXRON III"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","6","2025","DMU APOLO","584","4","14","513.92","12556","52735","","ZAPATA SIDEREA D18N","","LUBRICANTE SAE 85W-140","","LUBRICANTE SAE 15W-40","","LUBRICANTE SAE 15W-40","","FILTRO AIRE IGUAL O SIMILAR A N° PARTE VOLVO PENTA DH10A 154449 / WIX 42875","","FILTRO DIESEL TIPO RACOR IGUAL O SIMILAR A TECFIL PD 204 / WIX 33209 / LUBERFINER 2040N","","ACEITE ATF DEXRON III"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","5","2025","DMU APOLO","586","4","14","515.68","12599","52916","","ZAPATA SIDEREA D18N","","LUBRICANTE SAE 85W-140","","LUBRICANTE SAE 15W-40","","LUBRICANTE SAE 20W-40","","FILTRO AIRE IGUAL O SIMILAR A N° PARTE VOLVO PENTA DH10A 154449 / WIX 42875","","FILTRO DIESEL TIPO RACOR IGUAL O SIMILAR A TECFIL PD 204 / WIX 33209 / LUBERFINER 2040N","","ACEITE ATF DEXRON III"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","4","2025","DMU APOLO","518","4","14","455.84","11137","46775","","ZAPATA SIDEREA D18N","","LUBRICANTE SAE 85W-140","","LUBRICANTE SAE 15W-40","","LUBRICANTE SAE 15W-40","","FILTRO AIRE IGUAL O SIMILAR A N° PARTE VOLVO PENTA DH10A 154449 / WIX 42875","","FILTRO DIESEL TIPO RACOR IGUAL O SIMILAR A TECFIL PD 204 / WIX 33209 / LUBERFINER 2040N","","ACEITE ATF DEXRON III"
"RF004","ESTACION DEL ATLANTICO - CARTAGO","3","2025","DMU APOLO","558","4","14","491.04","11997","50387","","ZAPATA SIDEREA D18N","","LUBRICANTE SAE 85W-140","","LUBRICANTE SAE 15W-40","","LUBRICANTE SAE 20W-40","","FILTRO AIRE IGUAL O SIMILAR A N° PARTE VOLVO PENTA DH10A 154449 / WIX 42875","","FILTRO DIESEL TIPO RACOR IGUAL O SIMILAR A TECFIL PD 204 / WIX 33209 / LUBERFINER 2040N","","ACEITE ATF DEXRON III"
