"Id Parada","Nombre","Provincia","Cantón","Distrito","Código DTA","X","Y"
"001","EST. ATLANTICO","SAN JOSÉ","SAN JOSÉ","CARMEN","10101","492444.00769999996 "," 1098551.5043000001"
"002","APARTADERO","SAN JOSÉ","GOICOECHEA","CALLE BLANCOS","10803","492184.36959999986 "," 1099635.8461000007"
"003","-","SAN JOSÉ","GOICOECHEA","CALLE BLANCOS","10803","492107.19130000006 "," 1099696.4695999995"
"004","CUATRO REINAS","SAN JOSÉ","TIBÁS","COLIMA","11305","490498.74920000043 "," 1100827.7034000009"
"005","APARTADERO","SAN JOSÉ","TIBÁS","COLIMA","11305","490339.83220000006 "," 1101075.7028"
"006","-","SAN JOSÉ","TIBÁS","COLIMA","11305","490211.16569999978 "," 1101275.9169999994"
"007","APARTADERO","HEREDIA","SANTO DOMINGO","SANTA ROSA","40306","489517.78440000024 "," 1102398.0026999991"
"008","-","HEREDIA","SANTO DOMINGO","SANTA ROSA","40306","489352.38489999995 "," 1102552.3332000002"
"009","SANTA ROSA","HEREDIA","SANTO DOMINGO","SANTA ROSA","40306","489230.93929999974 "," 1102665.6199999992"
"010","APARTADERO","HEREDIA","SAN PABLO","RINCÓN DE SABANILLA","40902","488740.75789999962 "," 1103402.7853999995"
"011","-","HEREDIA","SAN PABLO","RINCÓN DE SABANILLA","40902","488638.841 "," 1103543.9386"
"012","MIRAFLORES","HEREDIA","SAN PABLO","RINCÓN DE SABANILLA","40902","488054.09219999984 "," 1104347.6124000009"
"013","APARTADERO","HEREDIA","HEREDIA","HEREDIA","40101","487256.24770000018 "," 1105150.3751999997"
"014","HEREDIA","HEREDIA","HEREDIA","HEREDIA","40101","487179.40089999977 "," 1105162.1256000008"
"015","-","HEREDIA","HEREDIA","HEREDIA","40101","487081.28369999956 "," 1105167.9115999993"
"016","APARTADERO","HEREDIA","HEREDIA","SAN FRANCISCO","40103","485827.11510000005 "," 1105176.2334000003"
"017","SAN FRANCISCO","HEREDIA","HEREDIA","SAN FRANCISCO","40103","485802.12150000036 "," 1105181.6623999998"
"018","-","HEREDIA","HEREDIA","SAN FRANCISCO","40103","485616.87569999974 "," 1105256.1673000008"
"019","SAN JOAQUÍN","HEREDIA","FLORES","SAN JOAQUÍN","40801","483299.13329999987 "," 1106098.2535999995"
"020","APARTADERO","HEREDIA","FLORES","SAN JOAQUÍN","40801","482824.59520000033 "," 1106183.1932999995"
"021","-","HEREDIA","FLORES","SAN JOAQUÍN","40801","482475.24139999971 "," 1106243.0834"
"022","APARTADERO","ALAJUELA","ALAJUELA","RÍO SEGUNDO","20109","480307.1425999999 "," 1106045.5666000005"
"023","-","ALAJUELA","ALAJUELA","RÍO SEGUNDO","20109","480063.62849999964 "," 1105990.7332000006"
"024","RÍO SEGUNDO","ALAJUELA","ALAJUELA","RÍO SEGUNDO","20109","479825.65670000017 "," 1106046.6062000003"
"025","APARTADERO","ALAJUELA","ALAJUELA","ALAJUELA","20101","477219.86730000004 "," 1106682.2091000006"
"026","EST. ALAJUELA","ALAJUELA","ALAJUELA","ALAJUELA","20101","477100.49770000018 "," 1106703.5193000007"
"027","-","ALAJUELA","ALAJUELA","ALAJUELA","20101","477043.15909999982 "," 1106697.0304000005"
"028","EST. PACIFICO","SAN JOSÉ","SAN JOSÉ","HOSPITAL","10103","491159.09069999959 "," 1097500.6857999992"
"029","-","SAN JOSÉ","SAN JOSÉ","HOSPITAL","10103","490822.79140000045 "," 1097531.4041000009"
"030","CEMENTERIO","SAN JOSÉ","SAN JOSÉ","HOSPITAL","10103","489941.32380000036 "," 1097660.1497000009"
"031","APARTADERO","SAN JOSÉ","SAN JOSÉ","HOSPITAL","10103","489274.59250000026 "," 1098265.1915000007"
