"Servicio","Recorrido","Tarifa Regular (¢)","Resolución","Fecha Publicación La Gaceta","Expediente"
"Alajuela-Heredia y viceversa","Alajuela-Heredia y viceversa","585","019-RIT-2017","27-03-2017","ET-083-2016"
"Tren Urbano San José-Cartago y Viceversa","Estación del Atlántico-Cartago","550","063-RIT-2013","02-05-2013","ET-005-2013"
"Tren Urbano San José-Cartago y Viceversa","Cartago-Estación del Atlántico","550","063-RIT-2013","02-05-2013","ET-005-2013"
"Tren Urbano Curridabat - San Pedro - Pavas","Indoor Club - Universidad Latina - Metrópoli III","490","RCR-871-2012","25-06-2012","ET-019-2012"
"Tren Urbano Curridabat - San Pedro - Pavas","Metropoli III - Universidad Latina - Indoor Club","490","RCR-871-2012","25-06-2012","ET-019-2012"
"Tren Urbano Curridabat - San Pedro - Pavas","Indoor Club – Universidad Latina - Estación del Pacífico","240","RCR-871-2012","25-06-2012","ET-019-2012"
"Tren Urbano Curridabat - San Pedro - Pavas","Estación del Pacífico - Universidad Latina - Indoor Club","240","RCR-871-2012","25-06-2012","ET-019-2012"
"Tren Urbano Curridabat - San Pedro - Pavas","Estación del Pacífico – Metrópoli III","240","RCR-871-2012","25-06-2012","ET-019-2012"
"Tren Urbano Curridabat - San Pedro - Pavas","Metrópoli III - Estación del Pacífico","240","RCR-871-2012","25-06-2012","ET-019-2012"
"Tren Interurbano San José – Heredia y Viceversa","Universidad Latina - Heredia","460","RCR-871-2012","25-06-2012","ET-019-2012"
"Tren Interurbano San José – Heredia y Viceversa","Heredia - Universidad Latina","460","RCR-871-2012","25-06-2012","ET-019-2012"
"Tren Interurbano San José – Heredia y Viceversa","Estación del Atlántico – Heredia","420","RCR-871-2012","25-06-2012","ET-019-2012"
"Tren Interurbano San José – Heredia y Viceversa","Heredia - Estación del Atlántico","420","RCR-871-2012","25-06-2012","ET-019-2012"
"Tren Urbano Curridabat - San Pedro - Pavas","Indoor Club - Universidad Latina - Metrópoli III","440","RCR-384-2011","01-04-2011","ET-208-2010"
"Tren Urbano Curridabat - San Pedro - Pavas","Metropoli III - Universidad Latina - Indoor Club","440","RCR-384-2011","01-04-2011","ET-208-2010"
"Tren Urbano Curridabat - San Pedro - Pavas","Indoor Club – Universidad Latina - Estación del Pacífico","220","RCR-384-2011","01-04-2011","ET-208-2010"
"Tren Urbano Curridabat - San Pedro - Pavas","Estación del Pacífico - Universidad Latina - Indoor Club","220","RCR-384-2011","01-04-2011","ET-208-2010"
"Tren Urbano Curridabat - San Pedro - Pavas","Estación del Pacífico – Metrópoli III","220","RCR-384-2011","01-04-2011","ET-208-2010"
"Tren Urbano Curridabat - San Pedro - Pavas","Metrópoli III - Estación del Pacífico","220","RCR-384-2011","01-04-2011","ET-208-2010"
"Tren Urbano San José – San Antonio De Belén y Viceversa","Estación del Pacífico – San Antonio de Belén","330","RCR-384-2011","01-04-2011","ET-208-2010"
"Tren Urbano San José – San Antonio De Belén y Viceversa","San Antonio de Belén - Estación del Pacífico","330","RCR-384-2011","01-04-2011","ET-208-2010"
"Tren Interurbano San José – Heredia y Viceversa","Universidad Latina - Heredia","420","RCR-384-2011","01-04-2011","ET-208-2010"
"Tren Interurbano San José – Heredia y Viceversa","Heredia - Universidad Latina","420","RCR-384-2011","01-04-2011","ET-208-2010"
"Tren Interurbano San José – Heredia y Viceversa","Estación del Atlántico – Heredia","380","RCR-384-2011","01-04-2011","ET-208-2010"
"Tren Interurbano San José – Heredia y Viceversa","Heredia - Estación del Atlántico","380","RCR-384-2011","01-04-2011","ET-208-2010"
"Ferrocarril Urbano San José-Heredia y Viceversa","ESTACIÓN DEL ATLÁNTICO-HEREDIA","350","RRG-9768-2009","14-05-2009","ET-014-2009"
"Ferrocarril Urbano San Pedro-Pavas","Universidad Latina – Estación Del Pacífico","200","RRG-8873-2008","14-10-2008","ET-144-2007"
"Ferrocarril Urbano San Pedro-Pavas","Estación Del Pacífico – Metrópoli III","200","RRG-8873-2008","14-10-2008","ET-144-2007"
"Ferrocarril Urbano San Pedro-Pavas","Universidad Latina – Metropoli III","400","RRG-8873-2008","14-10-2008","ET-144-2007"
