"Código de Ruta","Descripción de la ruta","Código recorrido ","Descripción del recorrido","Sentido","Dia","Mes","Año","Cantidad de Pasajeros Regulares","Cantidad de Adultos Mayores","Ingresos"
"RF005","ALAJUELA - HEREDIA Y VICEVERSA","T4471","ALAJUELA - HEREDIA Y VICEVERSA","Destino – Origen","30","6","2025","371","","296800"
"RF005","ALAJUELA - HEREDIA Y VICEVERSA","T4471","ALAJUELA - HEREDIA Y VICEVERSA","Destino – Origen","27","6","2025","415","","332000"
"RF005","ALAJUELA - HEREDIA Y VICEVERSA","T4471","ALAJUELA - HEREDIA Y VICEVERSA","Destino – Origen","26","6","2025","399","","319200"
"RF005","ALAJUELA - HEREDIA Y VICEVERSA","T4471","ALAJUELA - HEREDIA Y VICEVERSA","Destino – Origen","25","6","2025","392","","313600"
"RF005","ALAJUELA - HEREDIA Y VICEVERSA","T4471","ALAJUELA - HEREDIA Y VICEVERSA","Destino – Origen","24","6","2025","403","","322400"
"RF005","ALAJUELA - HEREDIA Y VICEVERSA","T4471","ALAJUELA - HEREDIA Y VICEVERSA","Destino – Origen","23","6","2025","269","","215200"
"RF005","ALAJUELA - HEREDIA Y VICEVERSA","T4471","ALAJUELA - HEREDIA Y VICEVERSA","Destino – Origen","20","6","2025","381","","304800"
"RF005","ALAJUELA - HEREDIA Y VICEVERSA","T4471","ALAJUELA - HEREDIA Y VICEVERSA","Destino – Origen","19","6","2025","461","","368800"
"RF005","ALAJUELA - HEREDIA Y VICEVERSA","T4471","ALAJUELA - HEREDIA Y VICEVERSA","Destino – Origen","18","6","2025","412","","329600"
"RF005","ALAJUELA - HEREDIA Y VICEVERSA","T4471","ALAJUELA - HEREDIA Y VICEVERSA","Destino – Origen","17","6","2025","340","","272000"
"RF005","ALAJUELA - HEREDIA Y VICEVERSA","T4471","ALAJUELA - HEREDIA Y VICEVERSA","Destino – Origen","16","6","2025","483","","386400"
"RF005","ALAJUELA - HEREDIA Y VICEVERSA","T4471","ALAJUELA - HEREDIA Y VICEVERSA","Destino – Origen","13","6","2025","392","","313600"
"RF005","ALAJUELA - HEREDIA Y VICEVERSA","T4471","ALAJUELA - HEREDIA Y VICEVERSA","Destino – Origen","12","6","2025","403","","322400"
"RF005","ALAJUELA - HEREDIA Y VICEVERSA","T4471","ALAJUELA - HEREDIA Y VICEVERSA","Destino – Origen","11","6","2025","439","","351200"
"RF005","ALAJUELA - HEREDIA Y VICEVERSA","T4471","ALAJUELA - HEREDIA Y VICEVERSA","Destino – Origen","10","6","2025","464","","371200"
"RF005","ALAJUELA - HEREDIA Y VICEVERSA","T4471","ALAJUELA - HEREDIA Y VICEVERSA","Destino – Origen","9","6","2025","312","","249600"
"RF005","ALAJUELA - HEREDIA Y VICEVERSA","T4471","ALAJUELA - HEREDIA Y VICEVERSA","Destino – Origen","6","6","2025","458","","366400"
"RF005","ALAJUELA - HEREDIA Y VICEVERSA","T4471","ALAJUELA - HEREDIA Y VICEVERSA","Destino – Origen","5","6","2025","493","","394400"
"RF005","ALAJUELA - HEREDIA Y VICEVERSA","T4471","ALAJUELA - HEREDIA Y VICEVERSA","Destino – Origen","4","6","2025","523","","418400"
"RF005","ALAJUELA - HEREDIA Y VICEVERSA","T4471","ALAJUELA - HEREDIA Y VICEVERSA","Destino – Origen","3","6","2025","392","","313600"
"RF005","ALAJUELA - HEREDIA Y VICEVERSA","T4471","ALAJUELA - HEREDIA Y VICEVERSA","Destino – Origen","2","6","2025","441","","352800"
"RF005","ALAJUELA - HEREDIA Y VICEVERSA","T4471","ALAJUELA - HEREDIA Y VICEVERSA","Origen – Destino","30","6","2025","298","","238400"
